event_name,event_start_at,event_end_at,receiver_uid,event_type,event_time,first_follow,bind_date,brand_id
測試B,2022-09-16,2022-09-30,U625856a34d956243958c053a3566d537,enter,2022-09-20 18:46:17,2022-07-06 10:51:58,2022-09-22 10:09:45,1
測試B,2022-09-16,2022-09-30,U625856a34d956243958c053a3566d537,enter,2022-09-20 18:44:34,2022-07-06 10:51:58,2022-09-22 10:09:45,1
測試B,2022-09-16,2022-09-30,Uf164313ee42902771267bf5e3e45f4b2,enter,2022-09-20 18:41:18,2020-03-11 11:47:38,2022-09-08 17:07:22,1
測試B,2022-09-16,2022-09-30,Ua459f9806408ef3c49574df52a6db824,enter,2022-09-20 18:39:21,2021-09-23 23:26:42,2022-08-30 16:20:37,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,U4a813f88cd72060425b26e784d0ec3fd,enter,2022-09-20 18:35:30,,2021-07-24 18:37:41,1
測試B,2022-09-16,2022-09-30,U8579f39cf6147aeed0dcdd7a1fee86cd,enter,2022-09-20 18:32:16,,2022-07-21 17:08:53,1
測試B,2022-09-16,2022-09-30,U26f8b1472eb7fa88d63786b17ed679cd,enter,2022-09-20 18:32:01,,2019-04-08 23:11:14,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,Ub74e5e631bd84ab5ba8f5833b00029f0,enter,2022-09-20 18:29:53,2022-02-10 13:29:17,2022-03-17 19:17:29,1
測試B,2022-09-16,2022-09-30,U8579f39cf6147aeed0dcdd7a1fee86cd,enter,2022-09-20 18:26:36,,2022-07-21 17:08:53,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,U4a813f88cd72060425b26e784d0ec3fd,enter,2022-09-20 18:21:29,,2021-07-24 18:37:41,1
測試B,2022-09-16,2022-09-30,Ue7068eeabc1fc9892223ae80e5ff6d36,enter,2022-09-20 18:20:59,,0000-00-00 00:00:00,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,U4a813f88cd72060425b26e784d0ec3fd,enter,2022-09-20 18:17:41,,2021-07-24 18:37:41,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,Uae60e17efce6b90144b1991310b0783e,enter,2022-09-20 18:10:41,2022-09-03 19:00:08,2022-09-03 19:01:04,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,Uaf43b018962146e9532319d6d9aa7ce5,enter,2022-09-20 18:07:11,2020-09-03 21:54:26,2021-07-06 12:38:19,1
測試B,2022-09-16,2022-09-30,Ue7068eeabc1fc9892223ae80e5ff6d36,enter,2022-09-20 18:07:09,,0000-00-00 00:00:00,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,Uaf43b018962146e9532319d6d9aa7ce5,enter,2022-09-20 18:05:35,2020-09-03 21:54:26,2021-07-06 12:38:19,1
測試B,2022-09-16,2022-09-30,Ua459f9806408ef3c49574df52a6db824,enter,2022-09-20 18:04:30,2021-09-23 23:26:42,2022-08-30 16:20:37,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,Uda7a6175447283640cd469a1070b0372,enter,2022-09-20 18:03:49,2021-10-11 15:09:25,2021-10-11 15:10:33,1
測試B,2022-09-16,2022-09-30,Ua459f9806408ef3c49574df52a6db824,enter,2022-09-20 18:01:50,2021-09-23 23:26:42,2022-08-30 16:20:37,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,Uaf43b018962146e9532319d6d9aa7ce5,enter,2022-09-20 17:59:46,2020-09-03 21:54:26,2021-07-06 12:38:19,1
測試B,2022-09-16,2022-09-30,Ua459f9806408ef3c49574df52a6db824,enter,2022-09-20 17:58:08,2021-09-23 23:26:42,2022-08-30 16:20:37,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,Uaf43b018962146e9532319d6d9aa7ce5,enter,2022-09-20 17:49:31,2020-09-03 21:54:26,2021-07-06 12:38:19,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,Uaf43b018962146e9532319d6d9aa7ce5,enter,2022-09-20 17:47:37,2020-09-03 21:54:26,2021-07-06 12:38:19,1
測試B,2022-09-16,2022-09-30,Ue7068eeabc1fc9892223ae80e5ff6d36,enter,2022-09-20 17:46:13,,0000-00-00 00:00:00,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,Uaf43b018962146e9532319d6d9aa7ce5,enter,2022-09-20 17:43:52,2020-09-03 21:54:26,2021-07-06 12:38:19,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,Uaf43b018962146e9532319d6d9aa7ce5,enter,2022-09-20 17:42:38,2020-09-03 21:54:26,2021-07-06 12:38:19,1
